호선,역번호,역명,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1호선,150,서울역,승차,166342,145680,183651,186488,190015,172860,167694,168454,160019,199190,175262,176305
1호선,150,서울역,하차,161263,143169,182265,184481,187890,171317,163394,168842,155819,196352,172618,171066
1호선,151,시청,승차,81506,69900,91818,87256,89803,84695,79345,103924,84288,143861,100505,101380
1호선,151,시청,하차,80961,68287,92353,86971,89981,83763,78756,105276,85635,156770,102932,103434
1호선,152,종각,승차,129852,112141,135484,132644,142140,127236,131406,136062,122051,188436,139097,156459
1호선,152,종각,하차,121784,104555,124984,124704,133428,119656,123782,126179,115372,175099,132199,147028
1호선,153,종로3가,승차,328633,288698,347489,333831,349310,330877,326454,321315,305902,360285,325176,354575
1호선,153,종로3가,하차,308683,269829,325149,312305,327712,311517,306401,299533,286306,333380,303475,331591
1호선,154,종로5가,승차,235914,200346,253519,253051,265446,248754,249538,239854,224832,264128,240433,251135
1호선,154,종로5가,하차,225793,192535,244312,243446,255196,239029,238639,230384,215435,253081,230759,241770
1호선,155,동대문,승차,109100,94621,120943,118727,124753,117251,113461,107910,105741,121012,113163,120076
1호선,155,동대문,하차,113584,98410,128140,124496,131251,123666,119181,112363,110206,127149,118042,125635
1호선,156,신설동,승차,103283,88180,107562,105154,107953,102618,101737,98748,96798,110589,103116,105864
1호선,156,신설동,하차,98264,84057,103644,101530,104223,98589,97853,94606,92411,106340,98504,101181
1호선,157,제기동,승차,331338,243365,300282,305675,311573,298345,291458,293492,293430,315631,289614,292093
1호선,157,제기동,하차,356235,258364,317819,324818,332216,319816,311072,313501,316344,339658,310962,311471
1호선,158,청량리(서울시립대입구),승차,300372,247927,292377,280975,287761,273986,269720,277800,267111,287036,269854,275232
1호선,158,청량리(서울시립대입구),하차,306126,251628,299122,285334,293541,280938,275562,285708,275919,295465,278093,280951
1호선,159,동묘앞,승차,119480,108166,137833,132122,140878,133659,116320,115397,120021,139261,125977,123652
1호선,159,동묘앞,하차,120904,110197,139462,134217,143060,135024,118420,117093,121849,141683,128122,126113
2호선,201,시청,승차,48041,40197,54781,53226,52068,49370,48885,54181,47256,75065,55983,54584
2호선,201,시청,하차,43133,35776,51056,48594,47594,44023,43300,49995,42467,71597,50944,48310
2호선,202,을지로입구,승차,97162,78932,100452,97421,99572,94784,99622,101945,92537,116982,102831,109378
2호선,202,을지로입구,하차,89971,72364,91163,89497,91822,87301,92300,93156,85750,105679,94539,101215
2호선,203,을지로3가,승차,75409,64899,79904,78832,79999,77126,76872,72358,72082,82417,77119,80491
2호선,203,을지로3가,하차,75323,64106,79664,77822,79125,76313,75438,71126,71157,80420,76291,80260
2호선,204,을지로4가,승차,83529,63149,78567,79632,82880,76851,78801,77250,72186,83164,77693,80516
2호선,204,을지로4가,하차,79586,59323,74309,76274,78820,73702,75122,75203,69791,80820,74942,77322
2호선,205,동대문역사문화공원,승차,47065,40423,51869,50448,53037,50314,50331,45869,44626,54291,51826,53641
2호선,205,동대문역사문화공원,하차,50317,42870,54968,53854,57060,53665,53999,49044,48145,58710,55421,57864
2호선,206,신당,승차,86873,73974,91487,89813,92446,87798,86908,84662,82427,92328,85950,89427
2호선,206,신당,하차,88682,75286,93414,91466,94262,89256,88561,86599,84148,93754,88216,91714
2호선,207,상왕십리,승차,57079,48468,58911,58533,60528,56420,57939,55829,53530,59556,56509,59247
2호선,207,상왕십리,하차,58095,49422,59986,59387,61313,57519,59157,56329,54236,60721,57456,60618
2호선,208,왕십리(성동구청),승차,47069,39519,49012,48107,49785,47765,48783,46045,44104,50130,48035,51153
2호선,208,왕십리(성동구청),하차,40133,34026,41743,41252,42606,40403,41052,39087,37347,42914,40889,42897
2호선,209,한양대,승차,11540,9576,11877,11963,12516,11473,11030,10212,10599,13052,11855,11764
2호선,209,한양대,하차,12678,10488,12891,13132,13808,12509,11913,11009,11529,14112,12669,12658
2호선,210,뚝섬,승차,48762,41690,51556,53892,54321,51109,50886,48930,47822,55249,51830,50874
2호선,210,뚝섬,하차,49082,41730,51718,53866,54267,51131,50820,49075,48217,55207,52128,51200
2호선,211,성수,승차,78747,64215,79213,81621,82525,78421,79931,74241,72725,82845,79014,80136
2호선,211,성수,하차,80276,65500,80714,83107,83967,79691,81349,75720,73996,84401,80479,82147
2호선,212,건대입구,승차,74882,64686,78868,79588,82061,79651,78919,75057,73924,85155,80620,84908
2호선,212,건대입구,하차,78220,67445,82446,82853,85301,82530,81322,77684,76111,87704,83483,87868
2호선,213,구의(광진구청),승차,88347,75593,92662,92108,93572,89519,91515,86585,83850,95968,91546,96442
2호선,213,구의(광진구청),하차,90483,77248,94423,94274,95345,91026,93317,88059,85167,97021,93063,98411
2호선,214,강변(동서울터미널),승차,117068,102959,126158,129043,132812,125300,121799,119267,116861,137933,124995,127737
2호선,214,강변(동서울터미널),하차,113094,100317,123152,126040,129207,122455,119202,118699,114781,135231,124102,124694
2호선,215,잠실나루,승차,78724,66686,76566,83968,83693,78364,80292,73878,73777,84560,80875,83172
2호선,215,잠실나루,하차,79502,67295,76897,84840,84685,79606,81176,74776,74722,85651,81117,84297
2호선,216,잠실(송파구청),승차,167071,145895,177223,198324,188866,181878,178601,178330,162426,196372,179782,190623
2호선,216,잠실(송파구청),하차,159903,139002,169101,187603,178770,173698,173016,173068,155758,183590,171074,183981
2호선,217,잠실새내,승차,98908,83415,101750,102794,105634,99795,102264,96995,93794,106123,100481,105202
2호선,217,잠실새내,하차,98244,83518,101257,103006,105579,99978,101543,96451,93978,105089,99737,104560
2호선,218,종합운동장,승차,39105,32141,46671,51422,56142,47972,45399,44293,45907,62633,49569,46257
2호선,218,종합운동장,하차,40996,33843,48445,54736,60106,51314,48006,47087,48230,66940,51775,48044
2호선,219,삼성(무역센터),승차,104068,86053,104586,101474,107545,102015,104871,102409,93207,104782,105483,113883
2호선,219,삼성(무역센터),하차,97147,80665,98317,95259,101360,96416,98658,95906,87326,98339,98969,107581
2호선,220,선릉,승차,192487,153841,189817,194763,197211,181994,196144,184213,172326,199055,194558,202506
2호선,220,선릉,하차,169124,134450,167516,171871,174088,160745,173120,162233,152648,175614,171680,178668
2호선,221,역삼,승차,136503,111728,137193,140792,140932,133481,142546,131412,125821,142423,138219,144601
2호선,221,역삼,하차,137512,112927,139249,142723,143921,136104,145190,133506,128310,145248,140357,147596
2호선,222,강남,승차,145591,120501,147973,146737,152717,144589,151594,136150,130893,151661,146279,157945
2호선,222,강남,하차,129868,107980,132661,130657,135548,128333,134902,121187,116524,134100,129198,140533
2호선,223,교대(법원.검찰청),승차,145134,122178,153865,152719,152837,145597,147664,135892,139248,158474,151662,160585
2호선,223,교대(법원.검찰청),하차,162958,137809,173980,171689,171553,164993,167034,152247,158724,182551,173178,185603
2호선,224,서초,승차,72171,61680,82740,82425,82579,82517,75856,73450,80117,96606,86457,90043
2호선,224,서초,하차,73108,62121,81000,83055,82706,82663,75595,73515,78521,100478,86580,90317
2호선,225,방배,승차,71188,60211,74993,74844,75408,72326,71783,67284,68164,76774,73996,77704
2호선,225,방배,하차,70476,59902,74262,74225,75217,72202,71373,67156,67735,76610,74239,77390
2호선,226,사당,승차,178231,152278,194294,191477,194752,193967,185600,173662,175233,200646,189695,212136
2호선,226,사당,하차,167280,142503,182943,180127,185493,182752,175413,164063,165469,190054,180028,199489
2호선,227,낙성대,승차,95130,80396,99381,99635,102607,97443,98529,92335,90558,104340,97486,102765
2호선,227,낙성대,하차,96590,81885,101226,101465,104713,99296,100465,94477,92593,106806,99687,104577
2호선,228,서울대입구(관악구청),승차,174724,147769,180126,181713,184415,170797,175606,168160,156814,182073,170255,177142
2호선,228,서울대입구(관악구청),하차,166829,141372,172924,174228,177634,164782,168981,162377,151540,175375,163336,170524
2호선,229,봉천,승차,126923,106252,131965,130958,135695,135460,137080,131636,123890,137883,129004,136062
2호선,229,봉천,하차,129606,108436,134709,133440,137879,137480,139139,133470,125746,139752,130806,137796
2호선,230,신림,승차,198567,172986,212781,207254,213283,204350,205139,196790,190385,215724,201349,214927
2호선,230,신림,하차,204499,177256,217504,212221,218188,209076,209587,201574,194051,220011,206262,219417
2호선,231,신대방,승차,103720,90232,112443,115561,118558,112927,113667,108118,105491,120699,110737,113656
2호선,231,신대방,하차,105646,91239,113996,117541,120618,114713,115502,109900,106506,122271,112589,114954
2호선,232,구로디지털단지,승차,140203,120176,147124,148739,151641,145144,149460,143501,134117,153334,147763,154313
2호선,232,구로디지털단지,하차,142589,121962,149479,150807,154533,147910,153084,146238,136433,155103,150193,156782
2호선,233,대림(구로구청),승차,94652,82013,101928,103283,105747,100217,101339,94377,93278,107367,102130,104874
2호선,233,대림(구로구청),하차,98552,85225,106304,107849,109810,103547,104738,98240,96415,110703,105705,108637
