철도운영기관명,선명,역명,지상구분,역층,면적
코레일,1호선,동두천중앙,지상,1,2385.24
코레일,1호선,동두천중앙,지상,2,3430.99
코레일,1호선,동두천중앙,지상,3,3430
코레일,1호선,동암,지상,1,
코레일,1호선,동암,지상,2,
코레일,1호선,두정,지상,2,1.2
코레일,1호선,망월사,지상,1,
코레일,1호선,망월사,지하,1,
코레일,1호선,명학,지상,1,33963396
코레일,1호선,명학,지상,2,485
코레일,1호선,방학,지상,1,
코레일,1호선,방학,지상,2,
코레일,1호선,배방,지상,1,
코레일,1호선,배방,지상,2,
코레일,3호선,원흥,지상,2,
코레일,3호선,원흥,지상,3,
코레일,3호선,대곡,지하,1,
코레일,3호선,대곡,지하,2,
코레일,3호선,마두,지하,1,
코레일,3호선,마두,지하,2,
코레일,3호선,백석,지하,1,
코레일,3호선,백석,지하,2,
코레일,3호선,삼송,지하,1,8881
코레일,3호선,삼송,지하,2,
코레일,3호선,원당,지하,1,
코레일,3호선,원당,지하,2,
코레일,3호선,정발산,지하,1,
코레일,3호선,정발산,지하,2,
코레일,3호선,화정,지상,1,
코레일,3호선,화정,지상,2,
코레일,3호선,주엽,지상,1,
코레일,3호선,주엽,지하,1,
코레일,3호선,대화,지상,1,
코레일,3호선,대화,지하,1,
코레일,3호선,대화,지하,2,
코레일,3호선,주엽,지하,2,
코레일,4호선,경마공원,지하,1,
코레일,4호선,경마공원,지하,2,
코레일,4호선,고잔,지상,1,
코레일,4호선,고잔,지상,2,
코레일,4호선,과천,지하,1,
코레일,4호선,과천,지하,2,
코레일,4호선,금정,지상,1,
코레일,4호선,금정,지상,2,
코레일,4호선,대공원,지하,1,4139.43
코레일,4호선,대공원,지하,2,
코레일,4호선,대야미,지상,1,974
코레일,4호선,대야미,지상,2,1430
코레일,4호선,범계,지하,1,
코레일,4호선,범계,지하,2,
코레일,4호선,산본,지상,1,
코레일,4호선,산본,지상,2,
코레일,4호선,상록수,지상,1,
코레일,4호선,상록수,지상,2,
코레일,4호선,선바위,지하,1,
코레일,4호선,선바위,지하,2,
코레일,4호선,수리산,지상,1,
코레일,4호선,수리산,지상,2,
코레일,4호선,신길온천,지상,1,
코레일,4호선,신길온천,지상,2,
코레일,4호선,안산,지상,1,
코레일,4호선,안산,지상,2,
코레일,4호선,오이도,지상,1,1618.9
코레일,4호선,오이도,지상,2,2395.2
코레일,4호선,인덕원,지하,1,
코레일,4호선,인덕원,지하,2,
코레일,4호선,정부과천청사,지하,1,
코레일,4호선,정부과천청사,지하,2,
코레일,4호선,정왕,지상,1,
코레일,4호선,정왕,지상,2,
코레일,4호선,중앙,지상,1,
코레일,4호선,중앙,지상,2,
코레일,4호선,초지,지상,2,1892
코레일,4호선,평촌,지하,1,
코레일,4호선,평촌,지하,2,
코레일,4호선,평촌,지하,3,
코레일,4호선,한대앞,지상,1,
코레일,4호선,한대앞,지상,2,
코레일,4호선,반월,지상,1,
코레일,4호선,반월,지하,1,
코레일,4호선,반월,지하,2,
코레일,수인분당,고색,지하,1,
코레일,수인분당,고색,지하,2,
코레일,수인분당,고색,지상,1,
코레일,수인분당,고잔,지상,1,
코레일,수인분당,고잔,지상,2,
코레일,수인분당,야목,지상,1,
코레일,수인분당,야목,지상,2,
코레일,수인분당,신길온천,지상,1,
코레일,수인분당,신길온천,지상,2,
코레일,수인분당,정왕,지상,1,
코레일,수인분당,정왕,지상,2,
코레일,수인분당,한대앞,지상,1,
코레일,수인분당,한대앞,지상,2,
코레일,수인분당,강남구청,지하,1,
코레일,수인분당,강남구청,지하,2,
코레일,수인분당,강남구청,지하,3,
코레일,수인분당,강남구청,지하,4,
코레일,수인분당,강남구청,지하,5,
코레일,수인분당,개포동,지하,1,
코레일,수인분당,개포동,지하,2,
코레일,수인분당,구룡,지하,1,
코레일,수인분당,구룡,지하,2,
코레일,수인분당,기흥(백남준아트센터),지하,2,6889.96
코레일,수인분당,기흥(백남준아트센터),지하,3,3436.1
코레일,수인분당,대모산입구,지하,1,
코레일,수인분당,대모산입구,지하,2,
코레일,수인분당,도곡,지하,1,
코레일,수인분당,도곡,지하,2,
코레일,수인분당,도곡,지하,3,
코레일,수인분당,도곡,지하,4,
코레일,수인분당,도곡,지하,6,
코레일,수인분당,매탄권선,지하,2,4292
코레일,수인분당,매탄권선,지하,3,2128
코레일,수인분당,모란,지하,1,
코레일,수인분당,모란,지하,2,
코레일,수인분당,모란,지하,3,
코레일,수인분당,보정,지하,1,5693.56
코레일,수인분당,보정,지하,2,3316.75
코레일,수인분당,보정,지하,3,2351.43
코레일,수인분당,복정(동서울대학),지하,1,
코레일,수인분당,복정(동서울대학),지하,2,
코레일,수인분당,복정(동서울대학),지하,3,
코레일,수인분당,상갈(루터대학교),지하,2,
코레일,수인분당,상갈(루터대학교),지하,3,
코레일,수인분당,서울숲,지하,1,3461.97
코레일,수인분당,서울숲,지하,4,207434
코레일,수인분당,선정릉(한국과학창의재단),지하,1,
