지하철역,환승가능여부,출근시간대 승차,출근시간대 하차,퇴근시간대 승차,퇴근시간대 하차,유임이용객,무임이용객,유임이용객 비율,무임이용객 비율
북한산우이,N,22253.865384615383,15251.846153846154,13300.961538461539,15020.98076923077,101013.98076923078,65382.346153846156,0.607,0.393
4.19민주묘지,N,21012.98076923077,13074.288461538461,15137.98076923077,19541.78846153846,109305.94230769231,55935.63461538462,0.661,0.339
사평,N,23530.450000000004,13153.716666666667,17505.833333333332,22329.183333333334,133306.8,30065.433333333334,0.816,0.184
강일,N,31010.2,8700.699999999999,10451.099999999999,28995.0,118842.4,42323.7,0.737,0.263
용답,N,27410.25,8148.616666666667,10631.300000000001,23510.65,120859.96666666667,32147.683333333334,0.79,0.21
학여울,N,11743.666666666666,18536.5,18563.2,11735.283333333333,115777.85,28751.666666666668,0.801,0.199
수색,N,9488.016666666666,28938.633333333335,26056.816666666662,9533.516666666666,105852.25,29238.1,0.784,0.216
용두(동대문구청),N,16291.683333333332,12070.649999999998,13848.383333333335,17239.616666666665,89416.15,45231.566666666666,0.664,0.336
삼양사거리,N,19938.076923076922,8782.98076923077,9442.923076923076,19347.115384615383,70873.07692307694,63395.92307692308,0.528,0.472
솔밭공원,N,23843.442307692312,6285.423076923077,7512.903846153846,18851.115384615383,79340.05769230769,50371.519230769234,0.612,0.388
버티고개,N,18383.416666666664,11343.516666666666,14568.25,16514.883333333335,100538.38333333333,28451.1,0.779,0.221
서강대,N,8753.6,17248.86666666667,15802.016666666668,11577.833333333334,105463.53333333333,18390.266666666666,0.852,0.148
한성백제,N,16765.324324324323,9819.027027027027,13895.54054054054,15193.675675675677,95712.91891891892,22907.054054054053,0.807,0.193
삼양,N,18592.96153846154,6912.384615384615,7319.307692307692,17565.365384615387,65438.55769230769,50314.653846153844,0.565,0.435
서빙고,N,9802.65,16680.3,16011.283333333335,10942.683333333332,85160.73333333332,29116.86666666667,0.745,0.255
구룡,N,11727.416666666668,15238.4,11336.683333333334,10031.95,76661.0,27933.833333333332,0.733,0.267
응봉,N,19552.75,5956.116666666666,7495.766666666666,14347.05,70080.68333333333,31542.833333333332,0.69,0.31
남태령,N,18255.5,10813.383333333333,14093.733333333334,5986.816666666667,74526.45,15989.983333333334,0.823,0.177
신답,N,19130.333333333336,3869.2833333333333,5398.5,18350.95,70609.9,19692.6,0.782,0.218
도림천,N,7942.866666666667,12425.199999999999,8075.8,7033.316666666666,56393.35,13349.733333333334,0.809,0.191
신내,Y,8358.506666666666,8037.916666666666,6073.966666666667,7554.633333333333,42598.15999999999,18029.256666666668,0.703,0.297
둔촌오륜,N,7921.540540540542,6047.405405405405,5192.351351351351,6142.054054054053,41800.67567567568,10194.945945945947,0.804,0.196
