지하철역,환승가능여부,출근시간대 승차,출근시간대 하차,퇴근시간대 승차,퇴근시간대 하차,유임이용객,무임이용객,유임이용객 비율,무임이용객 비율
이촌(국립중앙박물관),Y,71106.53333333334,84471.9,92516.03333333333,78367.1,598508.8666666667,136602.15,0.814,0.186
녹번,N,160587.09999999998,36313.33333333333,49768.35,115121.29999999999,604358.0166666666,127696.33333333334,0.826,0.174
상일동,N,168479.1666666667,35887.48333333334,53657.49999999999,111567.16666666666,584005.3999999999,133843.46666666667,0.814,0.186
당고개,N,136164.23333333334,36968.7,49725.333333333336,100260.81666666668,542090.0166666666,173305.78333333333,0.758,0.242
신길,Y,111059.83333333334,83431.98333333334,86923.93333333333,88628.41666666667,608545.6166666667,105478.11666666667,0.852,0.148
공릉(서울과학기술대),N,105727.73333333334,54639.6,62904.183333333334,102831.93333333332,581446.3166666667,127188.78333333333,0.821,0.179
신정(은행정),N,186403.3333333333,31655.466666666667,42680.85,106125.83333333331,599090.8833333333,108097.28333333333,0.847,0.153
안암(고대병원앞),N,31877.0,92882.63333333333,100161.53333333333,61921.216666666674,640221.9166666666,61722.2,0.912,0.088
도곡,Y,62067.66666666667,111633.46666666666,101993.36666666667,65480.73333333333,573894.0166666667,123827.03333333333,0.823,0.177
월곡(동덕여대),N,111676.31666666667,51598.38333333333,62533.48333333334,96740.33333333333,543895.5666666667,137620.26666666666,0.798,0.202
오류동,N,126066.04999999999,30687.166666666664,44677.03333333333,104430.35,498978.7333333333,167406.9,0.749,0.251
마들,N,146153.69999999998,27467.700000000004,33800.16666666667,107067.35,518333.25,146628.48333333334,0.779,0.221
대치,N,69744.33333333333,63643.16666666666,75531.16666666666,80361.13333333333,551643.1833333333,110772.23333333334,0.833,0.167
금천구청,N,114636.66666666666,55717.96666666667,56763.48333333333,99615.23333333334,513604.26666666666,145014.63333333333,0.78,0.22
여의나루,N,19209.816666666666,106458.08333333333,122446.89999999998,72300.36666666667,596056.2166666667,53620.649999999994,0.917,0.083
삼각지,Y,45916.63333333333,98198.91666666666,105101.79999999999,60664.48333333334,562543.2,82976.88333333333,0.871,0.129
올림픽공원(한국체대),Y,70033.93153153153,53340.3518018018,70052.76216216217,77876.70450450451,540860.5220720721,96275.77207207207,0.849,0.151
신풍,N,114005.76666666668,45366.23333333334,52263.13333333333,94040.6,511440.1333333333,125188.45,0.803,0.197
중화,N,114596.25,43454.38333333333,50638.26666666666,95813.68333333333,514996.5833333334,117368.3,0.814,0.186
남성,N,127114.23333333334,34932.816666666666,43085.566666666666,96141.01666666666,502035.0333333333,129892.03333333333,0.794,0.206
매봉,N,48871.45,123432.51666666666,115233.63333333333,52920.850000000006,520406.35,102746.63333333333,0.835,0.165
상도,N,101324.9,45712.63333333333,53547.23333333333,85507.2,514922.6166666667,105898.35,0.829,0.171
화랑대(서울여대입구),N,149809.25,32140.833333333332,43076.9,88613.15,536934.9666666667,81939.53333333333,0.868,0.132
동대입구,N,20688.266666666666,110983.96666666666,104276.53333333333,44850.01666666666,541936.2333333333,71170.93333333332,0.884,0.116
상수,N,33658.26666666666,56957.333333333336,73022.48333333334,87548.63333333333,563595.45,41939.53333333333,0.931,0.069
남영,N,42075.46666666667,115542.68333333332,96284.36666666667,56214.933333333334,530093.8333333333,72312.25,0.88,0.12
강동구청,N,97876.68333333332,63010.91666666667,59078.46666666666,84964.63333333333,479886.86666666664,117410.73333333334,0.803,0.197
장승배기,N,103868.70000000001,40994.35,44690.433333333334,86611.54999999999,455100.9666666667,138063.0833333333,0.767,0.233
등촌,N,102143.11666666667,36626.78333333333,44996.45,93861.91666666666,441273.3333333333,147858.5,0.749,0.251
먹골,N,110166.81666666665,29503.483333333334,43026.23333333334,95790.76666666666,473237.1666666667,115547.46666666667,0.804,0.196
한양대,N,21207.983333333334,110995.95000000001,88658.03333333334,38253.86666666667,557643.45,28196.75,0.952,0.048
증산(명지대앞),N,115508.86666666667,25009.266666666663,37314.850000000006,95721.45000000001,447723.0999999999,132641.31666666665,0.771,0.229
아현,N,84797.08333333334,46728.9,53551.75,76083.48333333332,458022.2333333333,119484.21666666667,0.793,0.207
복정,Y,99940.37807017543,47672.399999999994,66706.06754385965,74818.70000000001,491117.87368421047,82090.23157894737,0.857,0.143
양평,Y,76313.83333333333,76376.01666666666,71650.66666666667,65684.06666666667,452129.55,115915.66666666666,0.796,0.204
외대앞,N,70625.61666666667,37030.75,53139.51666666666,71893.96666666666,468903.93333333335,94819.83333333334,0.832,0.168
신정네거리,N,108986.95,24914.266666666663,34695.15,101322.5,436239.56666666665,125912.1,0.776,0.224
옥수,Y,81152.38333333333,36166.75,49613.76666666666,85307.68333333333,450442.05,110718.36666666667,0.803,0.197
방학,N,84689.78333333333,39176.6,44313.41666666667,79238.65,361730.14999999997,197616.3666666667,0.647,0.353
오금,Y,98666.55,61564.033333333326,57757.61666666667,70730.29999999999,473631.7,85093.88333333333,0.848,0.152
중곡,N,106593.64999999998,40861.183333333334,43043.433333333334,79767.6,442791.31666666665,112572.96666666667,0.797,0.203
둔촌동,N,79470.21666666666,47666.88333333333,53113.433333333334,78659.46666666667,421223.03333333327,122284.26666666666,0.775,0.225
효창공원앞,Y,67939.43333333333,72366.05,72338.8,59080.600000000006,442861.68333333335,99584.23333333334,0.816,0.184
영등포시장,N,52103.7,70814.86666666665,77604.6,57533.45,406734.75,135583.16666666666,0.75,0.25
보라매,N,69313.46666666666,73323.26666666666,63888.01666666666,65300.5,453907.24999999994,80515.61666666665,0.849,0.151
대청,N,77059.13333333333,51454.3,61823.88333333333,63896.2,432374.15,99907.56666666667,0.812,0.188
굽은다리(강동구민회관앞),N,98330.65,29233.216666666667,38781.7,83278.85,414962.9833333333,117294.78333333333,0.78,0.22
흑석(중앙대입구),N,51786.816666666666,49713.86666666667,57550.75,66434.33333333333,426655.8999999999,99346.41666666666,0.811,0.189
일원,N,59327.933333333334,67197.54999999999,54308.91666666667,50060.3,412960.7,111298.35,0.788,0.212
고덕,N,77021.03333333333,43011.833333333336,44245.73333333334,73082.16666666666,409437.4166666666,113703.23333333334,0.783,0.217
천왕,N,114960.71666666666,27701.483333333337,33521.95,85689.96666666666,429236.5333333333,92280.9,0.823,0.177
뚝섬유원지,N,72301.96666666667,28667.06666666667,48507.533333333326,78613.05,435810.01666666666,78393.76666666666,0.848,0.152
광흥창(서강),N,58348.71666666667,74743.79999999999,67625.05,54016.26666666666,411693.0833333334,98251.01666666666,0.807,0.193
광운대,N,85827.90000000001,33915.58333333333,38762.38333333333,68219.96666666666,408658.73333333334,100981.11666666667,0.802,0.198
봉화산(서울의료원),N,113918.25,25789.866666666665,31708.766666666666,80241.98333333334,414687.9,94950.26666666666,0.814,0.186
보문,Y,77844.16282051282,48705.058974358966,50238.80256410257,61366.160256410265,411530.3884615385,87944.77564102564,0.824,0.176
고려대(종암),N,63741.9,54242.01666666667,57208.96666666667,57560.24999999999,434329.7166666667,64973.333333333336,0.87,0.13
신이문,N,107355.05,18516.15,27390.0,79604.71666666667,372269.35,124135.95,0.75,0.25
언주,N,22171.966666666667,97975.6,97481.45,35592.85,445447.3333333334,46779.46666666666,0.905,0.095
돌곶이,N,89263.75,33986.5,38875.63333333333,71463.35,381188.7,110083.04999999999,0.776,0.224
서울숲,N,51952.28333333333,62128.166666666664,75630.31666666667,52836.433333333334,441134.5333333333,46166.38333333333,0.905,0.095
대흥(서강대앞),N,47162.566666666666,67631.79999999999,61118.833333333336,52805.38333333334,400256.8666666667,85008.81666666668,0.825,0.175
양천향교,N,69979.83333333333,51675.166666666664,53948.01666666666,62552.3,406501.43333333335,76609.18333333332,0.841,0.159
한강진,N,12146.933333333334,77014.51666666666,79714.4,53856.1,450624.2166666666,28372.533333333333,0.941,0.059
명일,N,83457.70000000001,26579.75,31377.333333333336,81352.11666666667,359726.3333333333,117547.01666666666,0.754,0.246
금호,N,90034.46666666666,20566.533333333333,32345.75,73408.56666666665,361457.9,102359.91666666667,0.779,0.221
송정,N,71625.95,34270.3,43563.3,63572.33333333333,355760.63333333336,106570.76666666666,0.769,0.231
망우,N,71737.88333333333,28588.65,36244.433333333334,69388.28333333333,326794.6166666667,131371.71666666667,0.713,0.287
독립문,N,52222.63333333333,51536.816666666666,42107.76666666666,48752.98333333333,320824.3833333333,136127.41666666666,0.702,0.298
행당,N,99067.4,21083.683333333334,28244.016666666663,71062.68333333333,357372.0833333334,86722.16666666666,0.805,0.195
길동,N,66584.96666666667,33105.96666666666,37749.65,68414.61666666665,321585.3333333334,120963.56666666667,0.727,0.273
청구,Y,49427.916666666664,69587.45,58257.9,45974.71666666666,356260.0,84298.2,0.809,0.191
중앙보훈병원,N,77975.02702702704,36813.10810810811,33881.21621621621,54159.32432432432,307106.2702702703,124188.1081081081,0.712,0.288
구일,N,64410.05,33015.86666666667,34123.566666666666,71501.79999999999,358893.43333333335,71898.76666666666,0.833,0.167
경찰병원,N,64943.38333333333,53080.066666666666,44413.350000000006,52416.86666666666,344291.51666666666,76601.48333333334,0.818,0.182
