호선명,지하철역,사용월,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,1시이후 승차,1시이후 하차,총 이용객
1호선,가능,201906.5,378.56666666666666,6.05,7903.966666666666,1626.1333333333334,12657.9,4374.083333333333,24975.15,5366.183333333333,23638.5,16129.05,15203.016666666666,8418.733333333334,12468.35,6858.433333333333,11413.266666666666,6510.516666666666,11396.2,7152.233333333334,10297.183333333332,8397.616666666667,9305.5,8004.816666666667,8953.033333333333,9500.683333333332,9408.133333333333,11731.216666666667,11904.933333333332,14506.45,10438.883333333333,19975.616666666665,6907.316666666667,19968.933333333334,5042.433333333333,13216.083333333334,4362.666666666667,9974.333333333334,3276.9166666666665,9940.933333333332,1441.25,6906.65,112.98333333333333,1916.6666666666667,0.05,1.65,593875.7666666667
1호선,가산디지털단지,201906.5,1340.0,6.133333333333334,8205.4,1980.5833333333333,7914.766666666666,10941.75,14763.35,46802.53333333333,14539.55,153276.75,11594.316666666668,72598.5,10380.716666666667,21970.766666666666,10997.616666666667,16996.766666666666,12513.066666666668,16409.233333333334,14100.0,17653.733333333334,14457.0,16749.566666666666,16167.333333333334,16943.65,21071.616666666665,18747.833333333332,50636.11666666667,23332.466666666667,110261.86666666667,27912.033333333333,49507.78333333333,22441.483333333334,29847.5,13175.716666666667,25568.883333333335,13044.05,17028.533333333333,11600.8,6963.9,6686.566666666667,182.5,1090.0166666666667,0.7,2.033333333333333,1180311.9833333334
1호선,간석,201906.5,375.65,10.866666666666667,5440.366666666667,1158.6,11762.75,2589.983333333333,26198.05,4138.65,22571.6,8974.15,12716.833333333334,5961.95,9789.983333333334,5196.216666666666,9361.316666666668,5690.166666666667,9559.716666666667,6616.683333333333,9258.916666666666,7212.183333333333,7934.05,7571.95,7922.033333333334,8707.516666666666,8938.2,11038.183333333332,9440.016666666666,14301.233333333334,9900.7,19304.766666666666,6011.5,19758.183333333334,4716.033333333334,12610.466666666667,4322.416666666667,10974.983333333334,3165.5833333333335,10211.35,1666.2333333333333,7005.55,146.68333333333334,2437.116666666667,0.11666666666666667,2.066666666666667,554578.0666666669
1호선,개봉,201906.5,1226.05,8.633333333333333,18414.966666666667,5494.8,36569.333333333336,11855.966666666667,95251.2,16530.883333333335,90883.65,26158.45,54553.4,20669.783333333333,38545.63333333333,17667.533333333333,34222.066666666666,20241.466666666667,35046.45,24447.716666666667,33677.73333333333,24229.85,29259.116666666665,28856.966666666667,27898.016666666666,34353.23333333333,30417.05,43570.26666666667,32939.28333333333,59967.05,33536.8,89897.23333333334,21150.85,78656.18333333333,16104.25,48984.7,14619.383333333333,44434.88333333333,10667.933333333332,39313.183333333334,4663.666666666667,24220.9,175.61666666666667,3167.9333333333334,0.3,2.283333333333333,1524459.1500000004
1호선,관악,201906.5,187.15,1.8,6983.55,1931.7166666666667,13008.033333333333,4626.45,34716.916666666664,6062.566666666667,33257.35,10607.266666666666,17020.783333333333,11114.666666666666,11564.533333333333,10735.233333333334,10261.366666666667,8128.4,12046.166666666666,8069.283333333334,11519.2,7915.516666666666,10670.983333333334,8289.183333333332,10399.116666666667,9592.933333333332,12228.2,11694.333333333334,13637.95,15376.666666666666,12179.15,27496.433333333334,7554.0,24178.633333333335,5467.8,14773.55,5186.383333333333,14446.85,3273.9333333333334,12601.583333333334,1254.4166666666667,8734.116666666667,52.5,980.5,0.06666666666666667,0.26666666666666666,651734.0000000001
1호선,광명,201906.5,0.16666666666666666,0.3333333333333333,21.616666666666667,2008.9333333333334,1860.9666666666667,2675.0333333333333,10717.216666666667,3603.366666666667,6499.9,3392.9166666666665,4716.966666666666,3046.3,2400.2833333333333,2468.4333333333334,3564.633333333333,1977.6333333333334,3420.5666666666666,3729.5,3041.0666666666666,548.8333333333334,2831.8166666666666,4967.016666666666,3988.15,1276.9666666666667,7075.6,4418.916666666667,4040.516666666667,4393.466666666666,8938.016666666666,9108.333333333334,5139.433333333333,8073.883333333333,3324.516666666667,3116.6,2935.8166666666666,1283.5666666666666,1630.0833333333333,2533.6,178.08333333333334,191.73333333333332,0.7666666666666667,0.36666666666666664,0.03333333333333333,0.03333333333333333,341048.4833333332
1호선,광운대,201906.5,1891.3,9.366666666666667,6056.233333333334,1672.75,13794.75,3227.133333333333,35362.75,6220.833333333333,32413.466666666667,16429.6,18051.683333333334,11265.15,13291.433333333332,10270.016666666666,12208.25,11619.4,13159.533333333333,10462.316666666668,12995.066666666668,11773.716666666667,12274.85,12263.583333333334,12628.166666666666,12307.833333333334,14629.933333333332,14697.45,16138.05,18099.283333333333,14093.133333333333,25823.133333333335,8531.2,24297.55,7336.7,16018.483333333334,6810.516666666666,13594.133333333333,5904.483333333334,13241.066666666668,2900.383333333333,10462.15,269.28333333333336,5110.433333333333,0.3333333333333333,32.96666666666667,711546.3499999999
1호선,구로,201906.5,10105.066666666668,37.166666666666664,24259.666666666668,4950.85,20134.566666666666,12746.65,39252.01666666667,32344.65,40282.96666666667,84638.03333333334,28237.083333333332,45815.73333333333,22824.433333333334,27556.483333333334,22693.683333333334,24210.816666666666,24346.85,23295.05,25622.316666666666,24892.383333333335,25332.5,24442.233333333334,27402.816666666666,26069.516666666666,31692.25,29189.733333333334,46880.5,39258.6,72560.0,47757.416666666664,34684.51666666667,36711.86666666667,26485.883333333335,23328.983333333334,20549.833333333332,23882.95,14878.483333333334,21098.35,6382.883333333333,15549.283333333333,109.76666666666667,13847.733333333334,1.0166666666666666,73.48333333333333,1348323.5666666667
1호선,구일,201906.5,255.43333333333334,8.933333333333334,3688.483333333333,1420.15,9397.683333333332,3487.9666666666667,27301.4,7873.316666666667,24282.916666666668,15435.966666666667,12825.733333333334,9706.583333333334,9534.55,6608.016666666666,8910.0,6443.05,9459.116666666667,8575.85,9024.85,10129.95,8353.25,9745.016666666666,9453.566666666668,11415.466666666667,12329.25,14412.4,12994.45,18894.216666666667,13475.733333333334,28786.05,7653.383333333333,23821.533333333333,8564.866666666667,12756.95,11653.8,11259.033333333333,9463.6,10354.666666666666,3661.65,6322.066666666667,71.65,978.9333333333333,0.1,0.6166666666666667,632698.7
1호선,군포,201906.5,75.36666666666666,2.6666666666666665,5529.133333333333,2259.133333333333,8698.933333333332,7414.616666666667,19201.983333333334,27090.416666666668,18200.3,47021.78333333333,10644.9,8381.2,8116.216666666666,5303.266666666666,7634.166666666667,5021.533333333334,8220.766666666666,5402.016666666666,7623.933333333333,5817.966666666666,6920.5,5946.733333333334,7175.6,7032.933333333333,9194.683333333332,8527.883333333333,19780.616666666665,11092.883333333333,33784.433333333334,15272.5,13271.05,13878.866666666667,11113.766666666666,8809.216666666667,8278.85,7815.45,4176.166666666667,6555.283333333334,1527.9166666666667,4340.966666666666,88.16666666666667,699.6166666666667,0.11666666666666667,0.2,614851.2000000001
