"지하철별(1)",지하철별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"지하철별(1)",지하철별(2),지하철 역수,엘레베이터,엘레베이터,에스컬레이터,에스컬레이터,휠체어리프트,휠체어리프트,수평자동보도,수평자동보도,지하철 역수,엘레베이터,엘레베이터,에스컬레이터,에스컬레이터,휠체어리프트,휠체어리프트,수평자동보도,수평자동보도,지하철 역수,엘레베이터,엘레베이터,에스컬레이터,에스컬레이터,휠체어리프트,휠체어리프트,수평자동보도,수평자동보도,지하철 역수,엘레베이터,엘레베이터,에스컬레이터,에스컬레이터,휠체어리프트,휠체어리프트,수평자동보도,수평자동보도,지하철 역수,엘레베이터,엘레베이터,에스컬레이터,에스컬레이터,휠체어리프트,휠체어리프트,수평자동보도,수평자동보도,지하철 역수,엘레베이터,엘레베이터,에스컬레이터,에스컬레이터,휠체어리프트,휠체어리프트,수평자동보도,수평자동보도,지하철 역수,엘레베이터,엘레베이터,에스컬레이터,에스컬레이터,휠체어리프트,휠체어리프트,수평자동보도,수평자동보도
"지하철별(1)",지하철별(2),소계,설치역수,시설수,설치역수,시설수,설치역수,시설수,설치역수,시설수,소계,설치역수,시설수,설치역수,시설수,설치역수,시설수,설치역수,시설수,소계,설치역수,시설수,설치역수,시설수,설치역수,시설수,설치역수,시설수,소계,설치역수,시설수,설치역수,시설수,설치역수,시설수,설치역수,시설수,소계,설치역수,시설수,설치역수,시설수,설치역수,시설수,설치역수,시설수,소계,설치역수,시설수,설치역수,시설수,설치역수,시설수,설치역수,시설수,소계,설치역수,시설수,설치역수,시설수,설치역수,시설수,설치역수,시설수
"서울교통공사",2호선,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,49,146,41,216,6,12,-,-,50,49,147,42,218,6,12,-,-,50,49,149,43,228,6,12,-,-,50,49,149,43,228,6,12,-,-,50,49,149,44,230,6,12,-,-
"서울교통공사",3호선,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,31,83,28,188,3,6,1,2,34,32,86,29,194,3,6,1,2,34,32,86,29,198,2,2,1,2,34,32,87,29,198,2,2,1,2,34,32,87,29,200,2,2,1,2
"서울교통공사",4호선,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,76,22,112,10,15,-,-,26,26,76,22,112,10,15,-,-,26,26,77,22,116,8,13,-,-,26,26,77,22,116,7,11,-,-,26,26,77,23,123,7,11,-,-
"서울교통공사",5호선,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,49,139,47,303,14,27,-,-,51,49,139,47,303,14,27,-,-,51,49,140,47,305,13,24,-,-,53,52,157,49,379,13,23,-,-,56,55,173,52,447,13,23,-,-
"서울교통공사",6호선,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,107,38,288,18,34,3,12,38,38,108,38,289,18,34,3,12,39,39,109,39,291,18,34,3,12,39,39,110,39,291,18,34,3,12,39,39,111,39,291,18,33,3,12
"서울교통공사",7호선,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,49,161,46,459,14,44,2,4,51,49,161,48,475,14,44,2,4,51,50,164,48,477,14,42,2,4,51,50,164,48,479,14,42,2,4,51,50,164,49,491,14,42,2,4
"서울교통공사",8호선,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,51,12,68,6,13,-,-,17,17,51,12,68,6,13,-,-,17,17,52,12,68,6,13,-,-,17,17,52,12,70,6,13,-,-,18,18,55,13,77,6,13,-,-
"서울시메트로9호선",소계,30,30,121,30,569,2,6,2,2,30,30,120,30,569,2,2,2,6,30,30,123,30,569,2,2,2,6,38,38,153,38,666,2,2,2,6,38,38,153,38,666,2,2,2,6,38,38,157,38,670,2,2,2,6,38,38,157,38,668,2,2,2,6
"서울시메트로9호선",1단계,-,-,-,-,-,-,-,-,-,25,25,98,25,465,2,2,2,6,25,25,101,25,465,2,2,2,6,25,25,98,25,465,2,2,2,6,25,25,98,25,465,2,2,2,6,25,25,102,25,469,2,2,2,6,25,25,102,25,467,2,2,2,6
"서울시메트로9호선",2단계,-,-,-,-,-,-,-,-,-,5,5,22,5,104,-,-,-,-,5,5,22,5,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시메트로9호선",23단계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,55,13,201,-,-,-,-,13,13,55,13,201,-,-,-,-,13,13,55,13,201,-,-,-,-,13,13,55,13,201,-,-,-,-
"우이신설선",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,52,13,74,-,-,-,-,13,13,52,13,74,-,-,-,-,13,13,52,13,74,-,-,-,-,13,13,52,13,74,-,-,-,-
